Company,Product,Type_Name,Inches,Ram,OS,Weight,Price_EUR,Screen,ScreenW,ScreenH,Touch_Screen,IPS_Panel,Retina_Display,CPU_company,CPU_Frequency_GHz,CPU_model,Primary_Storage_GB,Secondary_Storage,Primary_Storage_Type,Secondary_Storage_Type,GPU_company,GPU_model
Lenovo,IdeaPad 520S-14IKB,Notebook,14.00,8,No OS,1.70,599.00,Full HD,1920,1080,No,Yes,No,Intel,2.70,Core i3 7130U,256,0,SSD,No,Intel,HD Graphics 620
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.00,8,Windows 10,1.40,941.00,Full HD,1920,1080,No,No,No,Intel,1.60,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620
HP,250 G6,Notebook,15.60,8,Windows 10,1.86,690.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Asus,ZenBook Pro,Ultrabook,15.60,16,Windows 10,1.80,1983.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050 Ti
HP,250 G6,Notebook,15.60,4,Windows 10,1.86,438.69,Standard,1366,768,No,No,No,Intel,2.00,Core i3 6006U,500,0,HDD,No,AMD,Radeon 520
HP,Stream 14-AX040wm,Notebook,14.00,4,Windows 10,1.44,229.00,Standard,1366,768,No,No,No,Intel,1.60,Celeron Dual Core N3060,32,0,SSD,No,Intel,HD Graphics 400
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.60,4,Windows 10,1.90,549.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.30,12,Linux,3.00,949.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050 Ti
Microsoft,Surface Laptop,Ultrabook,13.50,4,Windows 10 S,1.25,1089.00,Standard,2256,1504,Yes,No,No,Intel,2.50,Core i5 7200U,128,0,SSD,No,Intel,HD Graphics 620
Dell,Inspiron 5370,Ultrabook,13.30,8,Windows 10,1.40,955.00,Full HD,1920,1080,No,Yes,No,Intel,1.80,Core i7 8550U,256,0,SSD,No,AMD,Radeon 530
Dell,Inspiron 5570,Notebook,15.60,8,Windows 10,2.20,870.00,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,256,0,SSD,No,AMD,Radeon 530
MSI,GL72M 7RDX,Gaming,17.30,8,Windows 10,2.70,1095.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050
Acer,Aspire E5-475,Notebook,14.00,8,Windows 10,2.10,389.00,Standard,1366,768,No,No,No,Intel,2.00,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.60,8,Windows 10,2.20,949.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050
Lenovo,IdeaPad 320-15IKBN,Notebook,15.60,8,No OS,2.20,519.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7200U,2048,0,HDD,No,Intel,HD Graphics 620
Dell,Inspiron 5570,Notebook,15.60,8,Windows 10,2.02,855.00,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,128,1024,SSD,HDD,Intel,UHD Graphics 620
Acer,Aspire A515-51G-32MX,Notebook,15.60,4,Windows 10,2.20,530.00,Full HD,1920,1080,No,No,No,Intel,2.70,Core i3 7130U,1024,0,HDD,No,Nvidia,GeForce MX130
HP,ProBook 470,Notebook,17.30,8,Windows 10,2.50,977.00,Full HD,1920,1080,No,No,No,Intel,1.60,Core i5 8250U,128,1024,SSD,HDD,Nvidia,GeForce 930MX
Dell,Latitude 5590,Ultrabook,15.60,8,Windows 10,1.88,1096.16,Full HD,1920,1080,No,Yes,No,Intel,1.60,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620
Apple,"MacBook 12""",Ultrabook,12.00,8,macOS,0.92,1510.00,Standard,2304,1440,No,Yes,Yes,Intel,1.30,Core i5,512,0,SSD,No,Intel,HD Graphics 615
HP,ProBook 440,Notebook,14.00,8,Windows 10,1.63,860.00,Full HD,1920,1080,No,No,No,Intel,1.60,Core i5 8250U,256,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-15AST,Notebook,15.60,4,Windows 10,2.20,399.00,Full HD,1920,1080,No,No,No,AMD,2.50,A6-Series 9220,128,0,SSD,No,AMD,R4 Graphics
Acer,Aspire 3,Notebook,15.60,4,Windows 10,2.10,395.00,Standard,1366,768,No,No,No,AMD,3.00,A9-Series 9420,1024,0,HDD,No,AMD,Radeon R5
Dell,Inspiron 7577,Gaming,15.60,16,Windows 10,2.65,1349.00,Full HD,1920,1080,No,Yes,No,Intel,2.80,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
HP,Pavilion 15-CK000nv,Ultrabook,15.60,8,Windows 10,1.83,699.00,Full HD,1920,1080,No,Yes,No,Intel,1.80,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce GTX 940MX
HP,250 G6,Notebook,15.60,8,Windows 10,1.96,598.99,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.60,16,Windows 10,2.20,1449.00,Full HD,1920,1080,No,Yes,No,Intel,2.80,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060
Dell,XPS 13,Ultrabook,13.30,8,Windows 10,1.21,1649.00,Full HD,1920,1080,No,Yes,No,Intel,1.80,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.60,8,Windows 10,2.45,699.00,Full HD,1920,1080,No,No,No,AMD,3.00,FX 9830P,1024,0,HDD,No,AMD,Radeon RX 560
Acer,Aspire 5,Notebook,15.60,8,Windows 10,2.20,689.00,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,1024,0,HDD,No,Nvidia,GeForce MX150
HP,Probook 430,Notebook,13.30,16,Windows 10,1.49,1197.00,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620
Dell,Inspiron 7577,Gaming,15.60,8,Windows 10,2.65,1195.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7300HQ,256,0,SSD,No,Nvidia,GeForce GTX 1060
Asus,Zenbook UX430UA,Ultrabook,14.00,8,Windows 10,1.25,1049.00,Full HD,1920,1080,No,No,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
Acer,Spin 5,2 in 1 Convertible,13.30,8,Windows 10,1.50,847.00,Full HD,1920,1080,Yes,Yes,No,Intel,1.60,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620
Dell,Inspiron 3567,Notebook,15.60,8,Linux,2.20,599.90,Full HD,1920,1080,No,No,No,Intel,2.70,Core i7 7500U,1024,0,HDD,No,AMD,Radeon R5 M430
Dell,Inspiron 3567,Notebook,15.60,4,Linux,2.20,485.00,Full HD,1920,1080,No,No,No,Intel,2.00,Core i3 6006U,256,0,SSD,No,AMD,Radeon R5 M430
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.60,6,Windows 10,2.00,577.00,Full HD,1920,1080,No,No,No,Intel,2.40,Core i3 7100U,256,0,SSD,No,Nvidia,GeForce 920M
HP,Omen 15-ce007nv,Gaming,15.60,12,Windows 10,2.62,1249.00,Full HD,1920,1080,No,Yes,No,Intel,2.80,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.60,8,Windows 10,1.91,719.00,Full HD,1920,1080,No,No,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,AMD,Radeon 530
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.60,4,Windows 10,2.10,349.00,Full HD,1920,1080,No,No,No,AMD,1.50,E-Series E2-9000e,500,0,HDD,No,AMD,Radeon R2
Dell,Inspiron 3576,Notebook,15.60,8,Linux,2.20,647.00,Full HD,1920,1080,No,No,No,Intel,1.60,Core i5 8250U,1024,0,HDD,No,AMD,Radeon 520
HP,Envy 13-ad009n,Ultrabook,13.30,8,Windows 10,1.38,1119.00,Full HD,1920,1080,No,Yes,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce MX150
Microsoft,Surface Laptop,Ultrabook,13.50,8,Windows 10 S,1.25,1340.00,Standard,2256,1504,Yes,No,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
HP,Pavilion 14-BK001nv,Notebook,14.00,6,Windows 10,1.58,659.00,Full HD,1920,1080,No,Yes,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Nvidia,GeForce 940MX
Lenovo,Ideapad 310-15ISK,Notebook,15.60,4,Windows 10,1.85,414.90,Full HD,1920,1080,No,No,No,Intel,2.00,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.00,8,Windows 10,1.30,1193.00,Full HD,1920,1080,No,Yes,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce 940MX
MSI,GP62M 7REX,Gaming,15.60,16,Windows 10,2.20,1299.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
Lenovo,Thinkpad T470,Notebook,14.00,8,Windows 10,1.58,1480.00,Full HD,1920,1080,No,Yes,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
Asus,VivoBook S15,Ultrabook,15.60,16,Windows 10,1.50,1262.00,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,256,1024,SSD,HDD,Nvidia,GeForce MX150
Dell,XPS 13,Ultrabook,13.30,8,Windows 10,1.23,1379.00,Quad HD+,3200,1800,Yes,No,No,Intel,2.40,Core i7 7560U,256,0,SSD,No,Intel,Iris Plus Graphics 640
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.30,8,Windows 10,1.37,1399.00,Full HD,1920,1080,Yes,Yes,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
HP,Probook 440,Notebook,14.00,4,Windows 10,1.63,722.00,Standard,1366,768,No,Yes,No,Intel,1.60,Core i5 8250U,500,0,HDD,No,Intel,UHD Graphics 620
Dell,XPS 13,Ultrabook,13.30,8,Windows 10,1.21,1629.00,Full HD,1920,1080,No,Yes,No,Intel,1.60,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620
HP,Spectre x360,2 in 1 Convertible,13.30,8,Windows 10,1.26,1398.99,Full HD,1920,1080,Yes,Yes,No,Intel,1.60,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620
HP,Probook 440,Notebook,14.00,8,Windows 10,1.63,1084.00,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620
Dell,Inspiron 7570,Notebook,15.60,8,Windows 10,2.16,1130.33,Full HD,1920,1080,No,Yes,No,Intel,1.80,Core i7 8550U,256,1024,SSD,HDD,Nvidia,GeForce 940MX
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.30,4,Windows 10,2.00,564.00,Full HD,1920,1080,No,No,No,Intel,2.00,Core i3 6006U,1024,0,HDD,No,Nvidia,GeForce 920MX
Asus,VivoBook S15,Notebook,15.60,8,Windows 10,1.70,1118.00,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce 940MX
Acer,Spin 3,Notebook,15.60,6,Windows 10,2.10,479.00,Full HD,1920,1080,Yes,Yes,No,Intel,2.40,Core i3 7100U,1024,0,HDD,No,Intel,HD Graphics 620
MSI,GS63VR 7RG,Gaming,15.60,16,Windows 10,1.80,2241.50,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1070
Lenovo,IdeaPad 320-15IKBN,Notebook,15.60,8,No OS,2.20,629.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Nvidia,GeForce 940MX
HP,Probook 470,Notebook,17.30,16,Windows 10,2.50,1271.00,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,512,0,SSD,No,Nvidia,GeForce 930MX 
Acer,Aspire 3,Notebook,15.60,4,Windows 10,2.10,451.00,Standard,1366,768,No,No,No,AMD,3.00,A9-Series 9420,256,0,SSD,No,AMD,Radeon R5
HP,250 G6,Notebook,15.60,4,No OS,1.86,259.00,Standard,1366,768,No,No,No,Intel,1.60,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics 400
HP,Probook 440,Notebook,14.00,8,Windows 10,1.63,812.00,Full HD,1920,1080,No,No,No,Intel,1.60,Core i5 8250U,1024,0,HDD,No,Intel,UHD Graphics 620
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.00,4,Windows 10 S,1.65,277.99,Standard,1366,768,No,No,No,AMD,1.50,E-Series 6110,64,0,SSD,No,AMD,Radeon R2
Dell,Inspiron 5770,Notebook,17.30,16,Windows 10,2.80,1396.00,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,256,2048,SSD,HDD,AMD,Radeon 530
HP,ProBook 470,Notebook,17.30,8,Windows 10,2.50,928.00,Full HD,1920,1080,No,No,No,Intel,1.60,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620
Dell,Inspiron 5567,Notebook,15.60,8,Windows 10,2.36,638.99,Standard,1366,768,No,No,No,Intel,2.50,Core i5 7200U,1024,0,HDD,No,AMD,Radeon R7 M445
Dell,Inspiron 3567,Notebook,15.60,4,Windows 10,2.20,449.00,Full HD,1920,1080,No,No,No,Intel,2.00,Core i3 6006U,1024,0,HDD,No,AMD,Radeon R5 M430
Acer,Swift 3,Ultrabook,14.00,8,Windows 10,1.60,884.00,Full HD,1920,1080,No,Yes,No,Intel,1.80,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620
Acer,Aspire A515-51G-37JS,Notebook,15.60,4,Windows 10,2.20,572.00,Full HD,1920,1080,No,No,No,Intel,2.70,Core i3 7130U,256,0,SSD,No,Nvidia,GeForce MX130
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.60,8,Windows 10,2.05,598.00,Standard,1366,768,No,No,No,Intel,2.70,Core i7 7500U,1024,0,HDD,No,Intel,HD Graphics 620
